"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Testing","0","Login Page","2","0","Negative Login - Frontend Validation","0"
"0","UI Testing","0","Registration Page","6","0","Negative Registration","0"
"0","API Testing","0","Car Controller","1","0","Negative - Unauthorized Access","0"
"0","UI Testing","0","Add Car Page (Let the car work)","0","1","Positive Add Car","0"
"0","API Testing","0","Car Controller","0","1","Bug #404: Spelling mismatch for Beer Sheva","0"
"0","Hybrid Testing","0","Search functionality","1","0","API Setup -> UI Search -> API Teardown","0"
"0","UI Testing","0","Search Page","1","0","Negative Search - Empty City Validation","0"
"0","UI Testing","0","Calendar Component","1","0","Negative Calendar UI - Past Dates Blocked","0"
"0","UI Testing","0","Registration Page","1","0","Navigation","0"
"0","API Testing","0","Maintenance","1","0","Clean up all cars","0"
"0","UI Testing","0","Login Page","2","0","Negative Login - Backend Validation","0"
"0","API Testing","0","Car Controller","1","0","Full Lifecycle (Create -> Read -> Delete)","0"
"0","UI Testing","0","Calendar Component","1","0","Calendar Navigation","0"
"0","UI Testing","0","Login Page","1","0","Positive Login","0"
"0","UI Testing","0","Registration Page","1","0","Positive Registration","0"
"0","API Testing","0","Car Controller","1","0","Create Car successfully","0"
"0","API Testing","0","Car Booking Flow","1","0","Integration: Create -> Search -> Book -> Delete","0"
"0","UI Testing","0","Registration Page","1","0","Negative Registration - Checkbox","0"
"0","UI Testing","0","Calendar Component","1","0","Calendar UI and Dismissal","0"
"0","UI Testing","0","Search Page","1","0","Search Cars Dynamic Flow","0"
"0","UI Testing","0","Search Page","1","0","Negative Search - Dates Manual Input Blocked","0"
