"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","test_registration_without_check_box","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","2566","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","3449","test_registration_success","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","2381","test_registration_negative_fields[password--Password is required]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","1357","test_navigation_to_registration","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","2465","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","1191","test_login_invalid_email_format","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","2221","test_registration_negative_fields[email--Email is required]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","2958","test_login_unregistered_user","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","2686","test_login_wrong_password","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","3068","test_login_success","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","2534","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","1170","test_search_form_basics","tests","2026-09-08","passed","2026-09-08","","test_search","",""
"","2715","test_registration_negative_fields[name--Name is required]","tests","2026-09-08","passed","2026-09-08","","test_registration","",""
"","1951","test_login_empty_password","tests","2026-09-08","passed","2026-09-08","","test_login","",""
